DATE	NUMARTS	COUNTTYPE	NUMBER	OBJECTTYPE	GEO_TYPE	GEO_FULLNAME	GEO_COUNTRYCODE	GEO_ADM1CODE	GEO_LAT	GEO_LONG	GEO_FEATUREID	CAMEOEVENTIDS	SOURCES	SOURCEURLS
20160308	14	REFUGEES	3000000000		4	Brussels, Bruxelles-capitale, Belgium	BE	BE11	50.8333	4.33333	-1955538	518853134,518853137,518854386,518854387,518854398,518846953,518846954,518854399,518854400,518854401,518855681,518855682,518855690,518855691,518855692,518855704,518855705,518855717,518855718,518853135,518853136,518853138,518854399,518854400,518854401,518855681,518855682,518855683,518855690,518855691,518855692,518855715,518855716,518853135,518853136,518853138,518854399,518854400,518854401,518855681,518855682,518855683,518855690,518855691,518855692,518855715,518855716,518853134,518853137,518854386,518854387,518854398,518846953,518846954,518854399,518854400,518854401,518855681,518855682,518855690,518855692,518866295,518855705,518866303,518866304,518853134,518853137,518854386,518854387,518854398,518846953,518846954,518854399,518854400,518854401,518855681,518855682,518855690,518855691,518855692,518855704,518855705,518855717,518855718,518894572,518894573,518894917,518894918,518894919,518895255,518895256,518895343,518895344,518895535,518895536,518895537,518895538,518895539,518895540,518895541,518895542,518895613,518895614,518895642,518895643,518895893,518895894,518890031,518896069,518896073,518896074,518896075,518896114,518873442,518896117,518896118,518896122,518873468,518848909,518896131,518896133,518873498,518896135,518858013,518896137,518896332,518896333,518896399,518896400,518896401,518964490,518853134,518853137,518854399,518854400,518854401,518855681,518855682,518966251,518855690,518855691,518855692,518855715,518855716,518853135,518853136,518853138,518854386,518854387,518854398,518846953,518846954,518854399,518854400,518854401,518855681,518855682,518855690,518855691,518855692,518855715,518980442,518991925,518868189,518938457,518992293,518992294,518914913,518914914,518846447,518992444,518992445,518992448,518992465,518846961,518859955,518859956,518992698,518992728,518992729,518992730,518992731,518847319,518847320,518992777,518992802,518992804,518993019,518993020,518926330,518926331,518926333,518848577,518860748,518860749,518993390,518993391,518848847,518848848,518993394,518993402,518848891,518852168,518993420,518868189,518993425,518855688,518863338,518860915,518993435,518993436,518993439,518993445,518993446,518993447,518852197,518993459,518993460,518993463,518993464,518938457,518993473,518993474,518993475,518993480,518952243,518993481,518964490,518853134,518853137,518854399,518854400,518854401,518855681,518855682,518966251,518855690,518855691,518855692,518855715,518855716,519019669,519019670,519019671,518855681,518893897,519107661,518884958,519107844,519108362,519108363,519108364,518977845,518857222,519108369,518885462,519108537,518847178,518891358,519109333,519079033,518848911,518909028,519109359,519109360,519109361,518845326,518957122,519115901,519116394,519116395,518847085,518847086,518957611,518954700,519116440,519116444,519117300,518852168,519107661,518884958,519107844,519108362,519108363,519108364,518977845,518857222,519108369,518885462,519108537,518847178,518891358,519109333,519079033,518848911,518909028,519109359,519109360,519109361	santacruzsentinel.com;philstar.com;philstar.com;aikenstandard.com;montereyherald.com;thenewamerican.com;dailyrepublic.com;wetzelchronicle.com;nwaonline.com;hamodia.com;dentonrc.com;nytimes.com;bilbaoya.com;livenewscentral.com	http://www.santacruzsentinel.com/general-news/20160307/turkey-demands-more-money-to-help-eu-tackle-migrant-crisis<UDIV>http://m.philstar.com/breakingnews/show/78229222523c8f91e870b0715e8e5336<UDIV>http://m.philstar.com/314190/show/78229222523c8f91e870b0715e8e5336<UDIV>http://www.aikenstandard.com/article/20160307/AIK0106/160309517<UDIV>http://www.montereyherald.com/general-news/20160307/turkey-demands-more-money-to-help-eu-tackle-migrant-crisis<UDIV>http://www.thenewamerican.com/world-news/europe/item/22696-after-migrant-numbers-reach-record-highs-eu-summit-aims-to-stem-flow<UDIV>http://www.dailyrepublic.com/usworld/turkey-demands-more-money-to-help-eu-tackle-migrant-crisis/<UDIV>http://www.wetzelchronicle.com/page/content.detail/id/1096886/Turkey-demands-more-money-to-help-EU-tackle-migrant-crisis.html?isap=1&nav=5061<UDIV>http://www.nwaonline.com/news/2016/mar/08/migrants-return-to-turkey-shaping-up-20/<UDIV>http://hamodia.com/2016/03/07/turkey-demands-more-money-to-help-eu-tackle-migrant-crisis/<UDIV>http://www.dentonrc.com/local-news/national-world-news/20160308-turkey-demands-more-money-for-migrant-crisis.ece<UDIV>http://www.nytimes.com/2016/03/09/world/europe/turkey-european-union-refugees.html<UDIV>http://bilbaoya.com/2016/03/08/eu-open-to-more-migrant-funding-for-turkey-tusk15a.html<UDIV>http://www.livenewscentral.com/e-u-woos-turkey-for-refugee-help-ignoring-rights-crackdown/
20160308	2	CRISISLEX_C03_WELLBEING_HEALTH	80		5	Laois, Ireland	EI	EI15	53	-7.4	-1504100	518844673,518847012,518844802	irishmirror.ie;offalyindependent.ie	http://www.irishmirror.ie/news/irish-news/elderly-pedestrian-killed-following-tragic-7513859<UDIV>http://www.offalyindependent.ie/news/roundup/articles/2016/03/08/4115759-appeal-over-fatal-collision-in-laois/
20160308	1	KILL	29		4	Nairobi, Nairobi Area, Kenya	KE	KE05	-1.28333	36.8167	-2258072	518881081,518961999,518865583,519073020,518865586,519073021,519073198,518936943,519007262,518848806,518883062,518966284,519073713,519073714	ibtimes.com	http://www.ibtimes.com/al-shabab-says-pentagon-exaggerated-bombing-death-toll-raso-training-camp-report-2332378
20160308	1	CRISISLEX_CRISISLEXREC	37323	Age	3	Hamilton County, Tennessee, United States	US	USTN	35.2001	-85.15	1639749		chattanoogan.com	http://chattanoogan.com/2016/3/8/319586/Latest-Hamilton-County-Jail-Booking.aspx
20160308	1	KIDNAP	2	Israeli minors	1	Israel	IS	IS	31.5	34.75	IS	519088346,519088981,519088982,518941775,519088984,519088985,518844713,519089521,519038234	972mag.com	http://972mag.com/photos-a-year-of-womens-struggles-in-palestine-and-israel/117666/
20160308	6	AFFECT	40000000	Australia	1	Cambodia	CB	CB	13	105	CB	518876689,518876960,518876961,518878255,518878256,518878257,518847290,518878497,518878498,518878926,518878927,518878928,518876689,518876960,518876961,518878255,518878256,518878257,518847290,518878497,518878498,518878926,518878927,518878928,518997153,518997858,518889138,518997974,518889235,518878497,518878498,518998338,518878926,518878927,518998669,518878928,518997153,518997858,518889138,518997974,518889235,518878497,518878498,518998338,518878926,518878927,518998669,518878928,518899667,519089119,518900079,518899667,519089119,518900079	cambodiadaily.com;cambodiadaily.com;fait-religieux.com;fait-religieux.com;examinergazette.com;examinergazette.com	https://www.cambodiadaily.com/news/iranian-couple-from-nauru-latest-to-leave-cambodia-109551/<UDIV>https://www.cambodiadaily.com/news/iranian-couple-from-nauru-latest-to-leave-cambodia-109551/<UDIV>http://fait-religieux.com/2016/03/08/iranian-refugees-resettled-in-cambodia-under-australian.html<UDIV>http://fait-religieux.com/2016/03/08/iranian-refugees-resettled-in-cambodia-under-australian.html<UDIV>http://examinergazette.com/2016/03/08/iranian-couple-in-cambodia-resettlement-deal-return-home.html<UDIV>http://examinergazette.com/2016/03/08/iranian-couple-in-cambodia-resettlement-deal-return-home.html
20160308	1	CRISISLEX_T03_DEAD	6		4	Soroti, Soroti, Uganda	UG	UG95	1.68556	33.6164	-1735162	518889171,518889314	chimpreports.com	http://www.chimpreports.com/soroti-6-killed-in-motor-accident-womens-day-celebrations-suspended/
20160308	1	CRISISLEX_CRISISLEXREC	12		1	France	FR	FR	46	2	FR	518942354,518943186,518943780,518943791,518943794	american-reporter.com	http://www.american-reporter.com/5,382/65.html
20160308	1	AFFECT	2	decades	2	New York, United States	US	USNY	42.1497	-74.9384	ny	518849320,518871193,518871303,518871323,518871456	mediamatters.org	http://mediamatters.org/research/2016/03/07/despite-right-wing-media-smears-nyc-posts-best/209060
20160308	1	ARREST	2	sons	0								candgnews.com	http://www.candgnews.com/news/%E2%80%98i-think-i-should-be-locked-up%E2%80%99-90908
